model,soc,soh,battery_temp,battery_capacity_kwh,model_cluster
ev6 gt,27.92911467146743,99.97684206292423,28.395819063249284,80.0,0
3 long range performance,80.0,99.97615907507848,28.838487360580785,107.0,4
i5 xdrive40 touring (my25),69.24025581659463,99.97567704633416,33.494493477850654,81.2,1
i5 xdrive40 touring (my25),69.24025581659463,99.97544224747236,29.87102020449609,81.2,1
i5 xdrive40 touring (my25),69.24025581659463,99.97520294223578,31.54127505942674,81.2,1
i5 xdrive40 touring (my25),69.24025581659463,99.97496566292368,31.97476979495455,81.2,1
mustang mach-e er awd (my25),58.40278248779843,99.97447942485432,29.771777810854736,88.0,2
emeya r,47.90581724930072,99.97400740274136,27.159042286350008,98.9,3
ev6 gt,36.72535347350693,99.9735109150894,27.558460309528023,80.0,0
ev6 gt,36.72535347350693,99.97326749865304,31.18847387633923,80.0,0
ev6 gt,36.72535347350693,99.97301738151864,29.238342805725807,80.0,0
ev6 gt,36.72535347350693,99.97276659844648,30.1737583978914,80.0,0
ev6 gt,36.72535347350693,99.97253334021666,31.725747349442,80.0,0
ev6 gt,36.72535347350693,99.9722974222812,30.344824375934664,80.0,0
ev6 gt,36.72535347350693,99.97205203068847,27.98239161127683,80.0,0
ev6 gt,36.72535347350693,99.97181780529208,28.66534901447876,80.0,0
ev6 gt,36.72535347350693,99.97156477559936,31.293344697391657,80.0,0
ev6 gt,36.72535347350693,99.97132667255345,28.586317633644505,80.0,0
ev6 gt,36.72535347350693,99.97109570668223,30.27159916978103,80.0,0
ev6 gt,36.72535347350693,99.97086327624272,31.80129421806043,80.0,0
ev6 gt,36.72535347350693,99.97061902663248,30.96040522058123,80.0,0
ev6 gt,36.72535347350693,99.97038350462832,29.915237956851247,80.0,0
ev6 gt,36.72535347350693,99.9701423161822,26.88064393558225,80.0,0
ev6 gt,36.72535347350693,99.96990764142517,27.32693391604355,80.0,0
ev6 gt,36.72535347350693,99.96966673795237,29.64605318448273,80.0,0
ev6 gt,25.014499452338036,99.96919442213554,28.726035590765445,80.0,0
3 long range performance,80.0,99.96849836113846,28.32268780343334,107.0,4
3 long range performance,80.0,99.96825222038748,30.89259394638777,107.0,4
3 long range performance,80.0,99.96802184233862,32.75473023349363,107.0,4
3 long range performance,80.0,99.96778307931876,26.53760116321483,107.0,4
i5 xdrive40 touring (my25),68.29328211077217,99.96728031561273,30.878294892329137,81.2,1
mustang mach-e er awd (my25),56.70292265231236,99.9667820225148,30.50849538323476,88.0,2
emeya r,46.23066234084057,99.96631611651264,27.537036597908525,98.9,3
emeya r,46.23066234084057,99.96607277967937,27.670666175213817,98.9,3
emeya r,46.23066234084057,99.96582921350738,29.21579678107527,98.9,3
emeya r,46.23066234084057,99.96559026472818,32.31947780323875,98.9,3
emeya r,46.23066234084057,99.96535731128684,29.377795096729184,98.9,3
emeya r,46.23066234084057,99.96511712481596,31.643924474416817,98.9,3
emeya r,46.23066234084057,99.96487694374136,29.00091865769869,98.9,3
emeya r,46.23066234084057,99.96462436889097,29.92814831833952,98.9,3
emeya r,46.23066234084057,99.96438750292089,32.12608764538766,98.9,3
emeya r,46.23066234084057,99.96414092544109,32.54743644702023,98.9,3
emeya r,46.23066234084057,99.9639055883528,30.523707233319605,98.9,3
emeya r,46.23066234084057,99.96367177025344,31.805440445010653,98.9,3
emeya r,46.23066234084057,99.9634226508094,32.49061316331196,98.9,3
ev6 gt,35.049607497893454,99.96295823454008,29.724104234146644,80.0,0
ev6 gt,25.38358394352244,99.96248391900802,31.3989614792732,80.0,0
ev6 gt,25.38358394352244,99.96223226936172,31.117328331552137,80.0,0
ev6 gt,25.38358394352244,99.96199433439418,30.47716409650589,80.0,0
ev6 gt,25.38358394352244,99.96175155230918,26.2410651441318,80.0,0
ev6 gt,25.38358394352244,99.96152017286776,29.5862156015672,80.0,0
ev6 gt,25.38358394352244,99.96126726534582,28.821343413631887,80.0,0
ev6 gt,25.38358394352244,99.96101920441474,31.27764501396944,80.0,0
ev6 gt,25.38358394352244,99.96077550985508,33.193064324739304,80.0,0
ev6 gt,25.38358394352244,99.96053373424078,33.421045828598295,80.0,0
ev6 gt,25.38358394352244,99.96029232165532,29.374513489817737,80.0,0
3 long range performance,80.0,99.95959877192344,28.70635343476625,107.0,4
i5 xdrive40 touring (my25),69.59576695171023,99.95910064177728,27.455489271109087,81.2,1
i5 xdrive40 touring (my25),69.59576695171023,99.95886452900592,29.016056653388503,81.2,1
i5 xdrive40 touring (my25),69.59576695171023,99.95861506095042,31.96592763054315,81.2,1
i5 xdrive40 touring (my25),69.59576695171023,99.95838387341512,30.13998143147619,81.2,1
i5 xdrive40 touring (my25),69.59576695171023,99.95814375197192,31.63524712928609,81.2,1
i5 xdrive40 touring (my25),69.59576695171023,99.95788993138652,28.628093025880187,81.2,1
i5 xdrive40 touring (my25),69.59576695171023,99.95764317002556,29.75234645895199,81.2,1
i5 xdrive40 touring (my25),69.59576695171023,99.95739208257024,33.07279204732994,81.2,1
i5 xdrive40 touring (my25),69.59576695171023,99.9571424702197,33.015318634111004,81.2,1
i5 xdrive40 touring (my25),69.59576695171023,99.95690228029204,31.6879642416472,81.2,1
i5 xdrive40 touring (my25),69.59576695171023,99.95666251456775,28.75945163084609,81.2,1
i5 xdrive40 touring (my25),69.59576695171023,99.95643202861068,27.558401660061243,81.2,1
mustang mach-e er awd (my25),59.12641191848505,99.95593818333832,26.245240858016857,88.0,2
emeya r,48.98693904747819,99.95547093148636,29.275810486885923,98.9,3
emeya r,48.98693904747819,99.95523217624309,30.185510800883893,98.9,3
emeya r,48.98693904747819,99.95498504739416,34.5191775351119,98.9,3
emeya r,48.98693904747819,99.95475386911968,28.375051654239297,98.9,3
emeya r,48.98693904747819,99.9545081463674,31.03219348696648,98.9,3
emeya r,48.98693904747819,99.9542720888717,30.132138183138377,98.9,3
emeya r,48.98693904747819,99.95402874733333,30.66584607540308,98.9,3
emeya r,48.98693904747819,99.95378539176497,25.912863313706403,98.9,3
emeya r,48.98693904747819,99.95353851542356,28.253155553239424,98.9,3
emeya r,48.98693904747819,99.95328732500138,29.434442892866592,98.9,3
emeya r,39.05452849850619,99.95280226338632,27.464933390667422,98.9,3
ev6 gt,28.40245712510601,99.95229538201843,30.871907909147303,80.0,0
ev6 gt,28.40245712510601,99.95204715152192,28.491584732155303,80.0,0
ev6 gt,28.40245712510601,99.95179575326802,30.913154866725417,80.0,0
ev6 gt,28.40245712510601,99.9515436961867,28.020643767902005,80.0,0
ev6 gt,28.40245712510601,99.9512908646404,29.924923405020337,80.0,0
ev6 gt,28.40245712510601,99.9510607123709,29.9576691940678,80.0,0
ev6 gt,28.40245712510601,99.95081013238962,32.66706383914567,80.0,0
ev6 gt,28.40245712510601,99.95056296494006,31.48274244644602,80.0,0
ev6 gt,28.40245712510601,99.9503221145902,28.729798833904468,80.0,0
ev6 gt,28.40245712510601,99.95008106563265,27.991125646915165,80.0,0
ev6 gt,28.40245712510601,99.949844846496,29.99861791359359,80.0,0
ev6 gt,28.40245712510601,99.94960319285916,29.455350298020363,80.0,0
3 long range performance,80.0,99.94890322923192,31.96966509224805,107.0,4
i5 xdrive40 touring (my25),69.75888772258342,99.94842871514793,33.074598505053736,81.2,1
i5 xdrive40 touring (my25),69.75888772258342,99.94819522292865,29.330251500335685,81.2,1
i5 xdrive40 touring (my25),69.75888772258342,99.94795322510994,27.40473464922185,81.2,1
i5 xdrive40 touring (my25),69.75888772258342,99.94771040147366,32.470772961306665,81.2,1
i5 xdrive40 touring (my25),69.75888772258342,99.94747331083155,30.546307152684967,81.2,1
i5 xdrive40 touring (my25),69.75888772258342,99.9472245943451,33.11396854666527,81.2,1
i5 xdrive40 touring (my25),69.75888772258342,99.94698664415516,32.360264141775815,81.2,1
i5 xdrive40 touring (my25),69.75888772258342,99.9467409492366,30.99992256468201,81.2,1
i5 xdrive40 touring (my25),69.75888772258342,99.94648996843866,30.46737122355208,81.2,1
i5 xdrive40 touring (my25),69.75888772258342,99.94623840435736,27.925994971449832,81.2,1
mustang mach-e er awd (my25),58.16697732500773,99.9457549413018,30.74387770759777,88.0,2
emeya r,46.8036611083471,99.94526156408966,26.417228575558035,98.9,3
emeya r,46.8036611083471,99.94502538888732,27.558724151518835,98.9,3
emeya r,46.8036611083471,99.9447847433918,29.212430224381617,98.9,3
emeya r,46.8036611083471,99.94455475722854,28.90042078131121,98.9,3
emeya r,46.8036611083471,99.94430438803091,27.409875975084493,98.9,3
emeya r,46.8036611083471,99.94407300675162,29.184479542857723,98.9,3
emeya r,46.8036611083471,99.94383909327414,28.395653119345432,98.9,3
emeya r,46.8036611083471,99.9435940334159,25.631296487719712,98.9,3
emeya r,46.8036611083471,99.94336212724768,28.57992721967273,98.9,3
emeya r,46.8036611083471,99.94311755625554,28.02265739107125,98.9,3
emeya r,46.8036611083471,99.94286554085916,26.46905148322193,98.9,3
emeya r,46.8036611083471,99.94261419753953,30.931636429621904,98.9,3
ev6 gt,36.69912392163525,99.94214950575254,25.970062434555484,80.0,0
ev6 gt,26.55508663750966,99.94164800784664,30.846166381224418,80.0,0
ev6 gt,26.55508663750966,99.9413961762449,28.660728790804697,80.0,0
ev6 gt,26.55508663750966,99.94114634254518,32.34822785078664,80.0,0
ev6 gt,26.55508663750966,99.9408965993498,28.14763309817631,80.0,0
ev6 gt,26.55508663750966,99.94065472865285,29.10921914820617,80.0,0
ev6 gt,26.55508663750966,99.94040670496376,29.55323141034679,80.0,0
ev6 gt,26.55508663750966,99.94016179297196,29.65888394995797,80.0,0
ev6 gt,26.55508663750966,99.93990986111348,28.93239664421579,80.0,0
ev6 gt,26.55508663750966,99.93966750703298,30.557606467925822,80.0,0
ev6 gt,26.55508663750966,99.9394322770346,30.90174317870368,80.0,0
3 long range performance,80.0,99.93872637072704,30.91761989958171,107.0,4
i5 xdrive40 touring (my25),68.58930652294602,99.93822614359044,33.37139983918252,81.2,1
i5 xdrive40 touring (my25),68.58930652294602,99.93799052899382,31.117195735979948,81.2,1
i5 xdrive40 touring (my25),68.58930652294602,99.93774031514108,31.749083440682885,81.2,1
i5 xdrive40 touring (my25),68.58930652294602,99.93750021777466,28.947249430249165,81.2,1
i5 xdrive40 touring (my25),68.58930652294602,99.93726867329976,28.209025556992582,81.2,1
i5 xdrive40 touring (my25),68.58930652294602,99.93702096242257,34.01139255319241,81.2,1
i5 xdrive40 touring (my25),68.58930652294602,99.93677980599838,28.289309827822585,81.2,1
i5 xdrive40 touring (my25),68.58930652294602,99.9365400235275,33.579419730046524,81.2,1
i5 xdrive40 touring (my25),68.58930652294602,99.93629321982556,31.33643568876429,81.2,1
i5 xdrive40 touring (my25),68.58930652294602,99.93604056931235,29.04917567894747,81.2,1
i5 xdrive40 touring (my25),68.58930652294602,99.9357890548888,31.503008541529503,81.2,1
i5 xdrive40 touring (my25),68.58930652294602,99.9355474752926,30.207457867531417,81.2,1
mustang mach-e er awd (my25),58.31547821016758,99.9350755065572,28.97546491183345,88.0,2
emeya r,48.205225971231606,99.93457839042858,31.613059541208543,98.9,3
emeya r,48.205225971231606,99.9343446570836,29.37699745086321,98.9,3
emeya r,48.205225971231606,99.93410690171228,27.275349384078,98.9,3
emeya r,48.205225971231606,99.93386744838142,29.84871547724906,98.9,3
emeya r,48.205225971231606,99.93363141838164,29.715984144189363,98.9,3
emeya r,48.205225971231606,99.93339340875852,31.994164114326423,98.9,3
emeya r,48.205225971231606,99.9331557340065,33.00301682824875,98.9,3
emeya r,48.205225971231606,99.9329229687709,31.93514952042407,98.9,3
emeya r,48.205225971231606,99.9326713373865,28.689194123528058,98.9,3
emeya r,48.205225971231606,99.93243660607055,30.72133473301932,98.9,3
ev6 gt,38.447443848801406,99.9319660805373,28.77312346029,80.0,0
ev6 gt,26.8412734537084,99.93148803544968,33.138025555084695,80.0,0
ev6 gt,26.8412734537084,99.9312386065634,29.70077562562909,80.0,0
ev6 gt,26.8412734537084,99.93100485257966,30.095435763447988,80.0,0
ev6 gt,26.8412734537084,99.93076701953191,34.95822929712952,80.0,0
ev6 gt,26.8412734537084,99.93053606098702,31.275260596154727,80.0,0
ev6 gt,26.8412734537084,99.93028349579144,33.7557202659349,80.0,0
ev6 gt,26.8412734537084,99.93003356440096,31.706582216736145,80.0,0
ev6 gt,26.8412734537084,99.92979428208253,32.028252248600666,80.0,0
ev6 gt,26.8412734537084,99.92954485084724,31.639999138690744,80.0,0
ev6 gt,26.8412734537084,99.92931085126769,27.97824526536396,80.0,0
ev6 gt,26.8412734537084,99.92907180891648,29.6402276610313,80.0,0
ev6 gt,26.8412734537084,99.92882892619616,28.571948507457417,80.0,0
ev6 gt,26.8412734537084,99.92857840260416,27.09495950985235,80.0,0
ev6 gt,26.8412734537084,99.9283346109104,29.533303026242724,80.0,0
ev6 gt,26.8412734537084,99.92809134855489,29.72577386189637,80.0,0
ev6 gt,26.8412734537084,99.92784231363191,28.96929232949144,80.0,0
3 long range performance,80.0,99.92715237463744,27.54495871308765,107.0,4
i5 xdrive40 touring (my25),69.87241616043303,99.92665221255022,33.36671370020092,81.2,1
i5 xdrive40 touring (my25),69.87241616043303,99.92640803627646,30.866223340519696,81.2,1
i5 xdrive40 touring (my25),69.87241616043303,99.92617210677123,29.743130110113057,81.2,1
i5 xdrive40 touring (my25),69.87241616043303,99.92592121704917,28.05070953939673,81.2,1
mustang mach-e er awd (my25),59.10598308308395,99.92542440882904,29.92701346061248,88.0,2
emeya r,48.15650176278525,99.92492938762663,31.38219188700557,98.9,3
ev6 gt,37.96168395663338,99.92445673317384,28.90218562175324,80.0,0
ev6 gt,37.96168395663338,99.92422044582928,26.608714538272963,80.0,0
ev6 gt,37.96168395663338,99.92398946420144,29.14160394585665,80.0,0
ev6 gt,37.96168395663338,99.92375297089602,31.597857560599103,80.0,0
ev6 gt,37.96168395663338,99.92350024042923,31.804458523335143,80.0,0
ev6 gt,37.96168395663338,99.9232484513634,30.092370312986382,80.0,0
ev6 gt,37.96168395663338,99.9230010556716,26.924577897545618,80.0,0
ev6 gt,37.96168395663338,99.92276428266264,29.92700621792944,80.0,0
ev6 gt,37.96168395663338,99.92253363197923,23.025174493672203,80.0,0
ev6 gt,37.96168395663338,99.92229850901457,28.646254725247324,80.0,0
ev6 gt,37.96168395663338,99.92204867233816,29.52848616876736,80.0,0
ev6 gt,37.96168395663338,99.92180413672943,29.6554739871646,80.0,0
ev6 gt,37.96168395663338,99.92155476314076,30.31998189691565,80.0,0
ev6 gt,37.96168395663338,99.92130727624942,29.596283660121323,80.0,0
ev6 gt,37.96168395663338,99.92107694967645,29.95710949215029,80.0,0
ev6 gt,37.96168395663338,99.92082906830072,30.43705040210734,80.0,0
ev6 gt,37.96168395663338,99.92058517209044,30.35139549742601,80.0,0
ev6 gt,27.01347911272736,99.92010303951164,29.76174509856296,80.0,0
3 long range performance,80.0,99.91942897434856,33.89539159282407,107.0,4
3 long range performance,80.0,99.9191858577118,30.280268833283177,107.0,4
3 long range performance,80.0,99.91895277067796,29.50339677020329,107.0,4
3 long range performance,80.0,99.91871180343033,27.491604171602297,107.0,4
i5 xdrive40 touring (my25),68.81266541536667,99.91822765781592,33.44751606940569,81.2,1
mustang mach-e er awd (my25),58.92578771505906,99.91775892663712,31.00150410781067,88.0,2
emeya r,49.13949935003779,99.91726273833554,29.887377644397738,98.9,3
emeya r,49.13949935003779,99.91703224224858,33.861658698433395,98.9,3
emeya r,49.13949935003779,99.91678421959446,28.925412805048065,98.9,3
emeya r,49.13949935003779,99.91655364896106,29.74693760752584,98.9,3
emeya r,49.13949935003779,99.91631141656852,27.260291297847107,98.9,3
emeya r,49.13949935003779,99.9160691661365,32.30154049006643,98.9,3
emeya r,49.13949935003779,99.91582619727346,30.013064466731898,98.9,3
emeya r,49.13949935003779,99.91557675614996,30.137393392032887,98.9,3
emeya r,49.13949935003779,99.91533971382506,32.36100452592174,98.9,3
emeya r,49.13949935003779,99.91510952444784,31.031031216374625,98.9,3
emeya r,49.13949935003779,99.91485560890658,31.934843363685893,98.9,3
emeya r,49.13949935003779,99.91461257843348,29.10449947994602,98.9,3
emeya r,49.13949935003779,99.9143589941805,33.917783214134786,98.9,3
emeya r,38.87798128288173,99.91389301982296,31.07636240338484,98.9,3
ev6 gt,27.76662117247871,99.91342321392844,29.62749634327225,80.0,0
ev6 gt,27.76662117247871,99.91317125372876,24.73903529474705,80.0,0
ev6 gt,27.76662117247871,99.91292284656316,30.81379106742484,80.0,0
ev6 gt,27.76662117247871,99.9126909780736,29.258823180242857,80.0,0
ev6 gt,27.76662117247871,99.91243756805166,29.43568758014661,80.0,0
ev6 gt,27.76662117247871,99.91218748825324,26.630111193272025,80.0,0
ev6 gt,27.76662117247871,99.91193442994826,27.710474791376413,80.0,0
ev6 gt,27.76662117247871,99.91169920219863,31.197426486524243,80.0,0
ev6 gt,27.76662117247871,99.91144773702727,30.15916924693301,80.0,0
ev6 gt,27.76662117247871,99.91120560446744,26.616397996903636,80.0,0
3 long range performance,80.0,99.91049819642856,31.096266003936837,107.0,4
i5 xdrive40 touring (my25),69.88555599677449,99.91000275188692,34.077116094210965,81.2,1
i5 xdrive40 touring (my25),69.88555599677449,99.90975326956232,28.650474638040578,81.2,1
i5 xdrive40 touring (my25),69.88555599677449,99.90950074746284,28.57213772886313,81.2,1
i5 xdrive40 touring (my25),69.88555599677449,99.90924812703112,25.83940339838856,81.2,1
i5 xdrive40 touring (my25),69.88555599677449,99.90900320854796,32.57623902773838,81.2,1
i5 xdrive40 touring (my25),69.88555599677449,99.90875771049544,27.686847401054436,81.2,1
i5 xdrive40 touring (my25),69.88555599677449,99.90851009510284,31.45167787872539,81.2,1
i5 xdrive40 touring (my25),69.88555599677449,99.90827869319168,29.906230047930848,81.2,1
i5 xdrive40 touring (my25),69.88555599677449,99.90803352385386,31.525992477166596,81.2,1
i5 xdrive40 touring (my25),69.88555599677449,99.90778007804342,32.87762629243569,81.2,1
i5 xdrive40 touring (my25),69.88555599677449,99.90753947584535,32.94891606315781,81.2,1
i5 xdrive40 touring (my25),69.88555599677449,99.90729935022364,33.25861151344125,81.2,1
mustang mach-e er awd (my25),58.38586279239056,99.90680507699231,30.992692196504137,88.0,2
emeya r,48.718883158205294,99.90631490685628,29.35613340232195,98.9,3
emeya r,48.718883158205294,99.90606941101215,26.21591290136866,98.9,3
emeya r,48.718883158205294,99.90582047559316,33.4045277623669,98.9,3
emeya r,48.718883158205294,99.90559000727252,29.54878002208369,98.9,3
emeya r,48.718883158205294,99.90535991019912,30.048683821384667,98.9,3
emeya r,48.718883158205294,99.90512760009386,28.18332246116163,98.9,3
emeya r,48.718883158205294,99.90487486063375,31.52468153038555,98.9,3
emeya r,48.718883158205294,99.90463302668284,28.39481731993641,98.9,3
emeya r,48.718883158205294,99.90437974960504,33.675928530915435,98.9,3
emeya r,48.718883158205294,99.90413895259115,32.32146307294304,98.9,3
ev6 gt,37.50679878130524,99.90367801803748,28.10013212479445,80.0,0
ev6 gt,27.779981111710136,99.90321525983832,28.36650139754715,80.0,0
ev6 gt,27.779981111710136,99.90296149167894,34.361163344790214,80.0,0
ev6 gt,27.779981111710136,99.9027274204979,27.96901223018907,80.0,0
ev6 gt,27.779981111710136,99.90249488871328,27.90106613724613,80.0,0
ev6 gt,27.779981111710136,99.90224687504848,30.07727134994822,80.0,0
ev6 gt,27.779981111710136,99.90201672582606,27.20252268987348,80.0,0
ev6 gt,27.779981111710136,99.90177871203689,28.22128113322277,80.0,0
ev6 gt,27.779981111710136,99.90152682100116,31.149825748789773,80.0,0
ev6 gt,27.779981111710136,99.901276657935,28.64803431729635,80.0,0
ev6 gt,27.779981111710136,99.9010243189726,27.5620459906699,80.0,0
ev6 gt,27.779981111710136,99.90077335712812,30.13442840421325,80.0,0
ev6 gt,27.779981111710136,99.90053888115024,32.50790541903161,80.0,0
3 long range performance,80.0,99.89987718044998,30.463147490044555,107.0,4
i5 xdrive40 touring (my25),69.50951641330742,99.89939771015246,31.312275664793408,81.2,1
i5 xdrive40 touring (my25),69.50951641330742,99.89914776997492,32.09677191455319,81.2,1
i5 xdrive40 touring (my25),69.50951641330742,99.89891763855567,30.625634618940698,81.2,1
i5 xdrive40 touring (my25),69.50951641330742,99.89867035391862,31.05178573854078,81.2,1
i5 xdrive40 touring (my25),69.50951641330742,99.89843611513434,30.903321708965983,81.2,1
i5 xdrive40 touring (my25),69.50951641330742,99.89818382496593,27.180358593976848,81.2,1
i5 xdrive40 touring (my25),69.50951641330742,99.89793284024208,29.67323248076512,81.2,1
i5 xdrive40 touring (my25),69.50951641330742,99.89769093688436,28.28679704136237,81.2,1
i5 xdrive40 touring (my25),69.50951641330742,99.8974515069898,28.43164226729788,81.2,1
i5 xdrive40 touring (my25),69.50951641330742,99.89721723968565,32.342906885131896,81.2,1
mustang mach-e er awd (my25),58.90736760917324,99.8967232390024,27.634162041869416,88.0,2
emeya r,48.88923260195336,99.8962555781504,29.618856019347483,98.9,3
emeya r,48.88923260195336,99.8960155176192,34.55250908937067,98.9,3
emeya r,48.88923260195336,99.89577359466604,27.74029444941567,98.9,3
emeya r,48.88923260195336,99.895519752566,35.588083646428274,98.9,3
emeya r,48.88923260195336,99.89527511994925,31.114275702532524,98.9,3
emeya r,48.88923260195336,99.89503242138,29.57461578077849,98.9,3
emeya r,48.88923260195336,99.89478822350672,26.757218014315107,98.9,3
emeya r,48.88923260195336,99.89453677443868,31.73414245922577,98.9,3
emeya r,48.88923260195336,99.89429702325285,30.265905932264744,98.9,3
